epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289064576.0,,
0,1,,,,288434720.0,,
0,2,,,,254840960.0,,
0,3,,,,211434400.0,,
,0,,,,,,268774816.0
0,3,,,,,268774816.0,
0,3,,,268784480.0,,,
1,4,,,,289064576.0,,
1,5,,,,288434688.0,,
1,6,,,,254840960.0,,
1,7,,,,211434400.0,,
,1,,,,,,268774816.0
1,7,,,,,268774816.0,
1,7,,,268784480.0,,,
2,8,,,,289064576.0,,
2,9,,,,288434688.0,,
2,10,,,,254840960.0,,
2,11,,,,211434400.0,,
,2,,,,,,268774816.0
2,11,,,,,268774816.0,
2,11,,,268784480.0,,,
3,12,,,,289064576.0,,
3,13,,,,288434720.0,,
3,14,,,,254840944.0,,
3,15,,,,211434400.0,,
,3,,,,,,268774816.0
3,15,,,,,268774816.0,
3,15,,,268784480.0,,,
4,16,,,,289064576.0,,
4,17,,,,288434720.0,,
4,18,,,,254840960.0,,
4,19,,,,211434400.0,,
,4,,,,,,268774816.0
4,19,,,,,268774816.0,
4,19,,,268784480.0,,,
5,20,,,,289064544.0,,
5,21,,,,288434688.0,,
5,22,,,,254840928.0,,
5,23,,,,211434400.0,,
,5,,,,,,268774816.0
5,23,,,,,268774816.0,
5,23,,,268784480.0,,,
6,24,,,,289064512.0,,
6,25,,,,288434624.0,,
6,26,,,,254840896.0,,
6,27,,,,211434352.0,,
,6,,,,,,268774720.0
6,27,,,,,268774720.0,
6,27,,,268784416.0,,,
7,28,,,,289064448.0,,
7,29,,,,288434592.0,,
7,30,,,,254840864.0,,
7,31,,,,211434336.0,,
,7,,,,,,268774720.0
7,31,,,,,268774720.0,
7,31,,,268784384.0,,,
8,32,,,,289064448.0,,
8,33,,,,288434592.0,,
8,34,,,,254840832.0,,
8,35,,,,211434304.0,,
,8,,,,,,268774688.0
8,35,,,,,268774688.0,
8,35,,,268784352.0,,,
9,36,,,,289064448.0,,
9,37,,,,288434560.0,,
9,38,,,,254840832.0,,
9,39,,,,211434304.0,,
,9,,,,,,268774688.0
9,39,,,,,268774688.0,
9,39,,,268784352.0,,,
10,40,,,,289064416.0,,
10,41,,,,288434560.0,,
10,42,,,,254840832.0,,
10,43,,,,211434304.0,,
,10,,,,,,268774688.0
10,43,,,,,268774688.0,
10,43,,,268784352.0,,,
11,44,,,,289064384.0,,
11,45,,,,288434528.0,,
11,46,,,,254840816.0,,
11,47,,,,211434272.0,,
,11,,,,,,268774656.0
11,47,,,,,268774656.0,
11,47,,,268784320.0,,,
12,48,,,,289064384.0,,
12,49,,,,288434528.0,,
12,50,,,,254840816.0,,
