epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,289063936.0,,
0,1,,288433920.0,,
0,2,,254840064.0,,
0,3,,211433456.0,,
,0,,,,268773440.0
0,3,,,268773440.0,
0,3,268783680.0,,,
1,4,,289063040.0,,
1,5,,288432928.0,,
1,6,,254839136.0,,
1,7,,211432576.0,,
,1,,,,268772224.0
1,7,,,268772224.0,
1,7,268782752.0,,,
2,8,,289061792.0,,
2,9,,288431520.0,,
2,10,,254837648.0,,
2,11,,211431120.0,,
,2,,,,268770272.0
2,11,,,268770272.0,
2,11,268781376.0,,,
3,12,,289059680.0,,
3,13,,288429120.0,,
3,14,,254835184.0,,
3,15,,211428688.0,,
,3,,,,268766816.0
3,15,,,268766816.0,
3,15,268779040.0,,,
4,16,,289056064.0,,
4,17,,288424928.0,,
4,18,,254830784.0,,
4,19,,211424256.0,,
,4,,,,268760768.0
4,19,,,268760768.0,
4,19,268774912.0,,,
5,20,,289049632.0,,
5,21,,288417440.0,,
5,22,,254823024.0,,
5,23,,211416608.0,,
,5,,,,268750176.0
5,23,,,268750176.0,
5,23,268767648.0,,,
6,24,,289038368.0,,
6,25,,288404608.0,,
6,26,,254809872.0,,
6,27,,211403568.0,,
,6,,,,268732416.0
6,27,,,268732416.0,
6,27,268755136.0,,,
7,28,,289019872.0,,
7,29,,288383488.0,,
7,30,,254788464.0,,
7,31,,211383072.0,,
,7,,,,268703616.0
7,31,,,268703616.0,
7,31,268734784.0,,,
8,32,,288989888.0,,
8,33,,288348800.0,,
8,34,,254752816.0,,
8,35,,211348976.0,,
,8,,,,268657632.0
8,35,,,268657632.0,
8,35,268701248.0,,,
9,36,,288941216.0,,
9,37,,288294208.0,,
9,38,,254697200.0,,
9,39,,211295744.0,,
,9,,,,268586208.0
9,39,,,268586208.0,
9,39,268648256.0,,,
10,40,,288864384.0,,
10,41,,288212288.0,,
10,42,,254613104.0,,
10,43,,211215712.0,,
,10,,,,268479712.0
10,43,,,268479712.0,
10,43,268567424.0,,,
11,44,,288754368.0,,
11,45,,288088576.0,,
11,46,,254486032.0,,
11,47,,211097888.0,,
,11,,,,268320464.0
11,47,,,268320464.0,
11,47,268447456.0,,,
12,48,,288582272.0,,
12,49,,287898400.0,,
12,50,,254301408.0,,
12,51,,210924864.0,,
,12,,,,268081856.0
12,51,,,268081856.0,
12,51,268266384.0,,,
13,52,,288336480.0,,
13,53,,287629088.0,,
13,54,,254023008.0,,
13,55,,210642656.0,,
,13,,,,267735728.0
13,55,,,267735728.0,
13,55,267999568.0,,,
14,56,,287969536.0,,
14,57,,287230816.0,,
14,58,,253636144.0,,
14,59,,210258400.0,,
,14,,,,267252400.0
14,59,,,267252400.0,
14,59,267615536.0,,,
15,60,,287457984.0,,
15,61,,286681984.0,,
15,62,,253100912.0,,
15,63,,209788576.0,,
,15,,,,266595776.0
15,63,,,266595792.0,
15,63,267091776.0,,,
16,64,,286785984.0,,
16,65,,285920736.0,,
16,66,,252326288.0,,
16,67,,209157248.0,,
,16,,,,265718624.0
16,67,,,265718624.0,
16,67,266369552.0,,,
17,68,,285860704.0,,
17,69,,284953472.0,,
17,70,,251398176.0,,
17,71,,208172272.0,,
,17,,,,264537344.0
17,71,,,264537344.0,
17,71,265423472.0,,,
18,72,,284618688.0,,
18,73,,283617344.0,,
18,74,,250130208.0,,
18,75,,207036336.0,,
,18,,,,262952704.0
18,75,,,262952704.0,
18,75,264160592.0,,,
19,76,,282901504.0,,
19,77,,281819776.0,,
19,78,,248363824.0,,
19,79,,205532848.0,,
,19,,,,260855776.0
19,79,,,260855776.0,
19,79,262433952.0,,,
20,80,,280746272.0,,
20,81,,279563040.0,,
20,82,,246080016.0,,
20,83,,203208336.0,,
,20,,,,258109360.0
20,83,,,258109360.0,
20,83,260189856.0,,,
21,84,,277896160.0,,
21,85,,276334464.0,,
21,86,,243050448.0,,
21,87,,200535632.0,,
,21,,,,254580336.0
21,87,,,254580336.0,
21,87,257201456.0,,,
22,88,,274049760.0,,
22,89,,272429632.0,,
22,90,,239087264.0,,
22,91,,197202240.0,,
,22,,,,250124464.0
22,91,,,250124464.0,
22,91,253371616.0,,,
23,92,,269409120.0,,
23,93,,267318224.0,,
23,94,,234432304.0,,
23,95,,192807456.0,,
,23,,,,244595744.0
23,95,,,244595744.0,
23,95,248622784.0,,,
24,96,,263700112.0,,
24,97,,261205344.0,,
24,98,,228404944.0,,
24,99,,187684448.0,,
,24,,,,237872704.0
24,99,,,237872704.0,
24,99,242781520.0,,,
25,100,,256446848.0,,
25,101,,253589024.0,,
25,102,,221661440.0,,
25,103,,181392272.0,,
,25,,,,229825856.0
25,103,,,229825856.0,
25,103,235696848.0,,,
26,104,,247971840.0,,
26,105,,244658528.0,,
26,106,,212774864.0,,
26,107,,174149296.0,,
,26,,,,220380864.0
26,107,,,220380864.0,
26,107,227132432.0,,,
27,108,,237827712.0,,
27,109,,233864624.0,,
27,110,,204068256.0,,
27,111,,165059712.0,,
,27,,,,209485840.0
27,111,,,209485840.0,
27,111,217354816.0,,,
28,112,,226680624.0,,
28,113,,222112400.0,,
28,114,,192464336.0,,
28,115,,155390640.0,,
,28,,,,197166432.0
28,115,,,197166432.0,
28,115,206094112.0,,,
29,116,,212660480.0,,
29,117,,209277392.0,,
29,118,,180061040.0,,
29,119,,145434000.0,,
,29,,,,183512560.0
29,119,,,183512560.0,
29,119,193418624.0,,,
30,120,,197925328.0,,
30,121,,193336944.0,,
30,122,,166488960.0,,
30,123,,134469680.0,,
,30,,,,168720496.0
30,123,,,168720512.0,
30,123,179166064.0,,,
31,124,,182301616.0,,
31,125,,177597136.0,,
31,126,,151671792.0,,
31,127,,122529104.0,,
,31,,,,153109552.0
31,127,,,153109552.0,
31,127,164225616.0,,,
32,128,,165312848.0,,
32,129,,160841488.0,,
32,130,,137289392.0,,
32,131,,109850104.0,,
,32,,,,137120944.0
32,131,,,137120944.0,
32,131,148624672.0,,,
33,132,,148594096.0,,
33,133,,144155216.0,,
33,134,,122861264.0,,
33,135,,98010760.0,,
,33,,,,121295984.0
33,135,,,121295984.0,
33,135,133218952.0,,,
34,136,,131602712.0,,
34,137,,125945024.0,,
34,138,,108891992.0,,
34,139,,87531136.0,,
,34,,,,106233424.0
34,139,,,106233424.0,
34,139,117604280.0,,,
35,140,,115038336.0,,
35,141,,110955272.0,,
35,142,,94672128.0,,
35,143,,77979792.0,,
,35,,,,92512352.0
35,143,,,92512352.0,
35,143,103095112.0,,,
36,144,,98950144.0,,
36,145,,94383248.0,,
36,146,,83048312.0,,
36,147,,70701312.0,,
,36,,,,80546064.0
36,147,,,80546064.0,
36,147,89315688.0,,,
37,148,,87320640.0,,
37,149,,82092960.0,,
37,150,,72702856.0,,
37,151,,64014984.0,,
,37,,,,70461832.0
37,151,,,70461832.0,
37,151,78515328.0,,,
38,152,,74797928.0,,
38,153,,71369320.0,,
38,154,,64934968.0,,
38,155,,59147888.0,,
,38,,,,62106776.0
38,155,,,62106776.0,
38,155,68895160.0,,,
39,156,,66111072.0,,
39,157,,62822140.0,,
39,158,,58620776.0,,
39,159,,54702768.0,,
,39,,,,55114200.0
39,159,,,55114200.0,
39,159,61492468.0,,,
40,160,,57132532.0,,
40,161,,55224492.0,,
40,162,,52851620.0,,
40,163,,50503316.0,,
,40,,,,49097168.0
40,163,,,49097168.0,
40,163,54470360.0,,,
41,164,,51385572.0,,
41,165,,49010936.0,,
41,166,,47410264.0,,
41,167,,47071492.0,,
,41,,,,43752300.0
41,167,,,43752300.0,
41,167,48980576.0,,,
42,168,,45185252.0,,
42,169,,42681240.0,,
42,170,,42048328.0,,
42,171,,42122136.0,,
,42,,,,38919548.0
42,171,,,38919548.0,
42,171,43149728.0,,,
43,172,,40287924.0,,
43,173,,37833464.0,,
43,174,,38444436.0,,
43,175,,38422424.0,,
,43,,,,34557848.0
43,175,,,34557848.0,
43,175,38798476.0,,,
44,176,,36253124.0,,
44,177,,33596936.0,,
44,178,,34150508.0,,
44,179,,34024264.0,,
,44,,,,30662970.0
44,179,,,30662970.0,
44,179,34582536.0,,,
45,180,,32470820.0,,
45,181,,30314388.0,,
45,182,,30156228.0,,
45,183,,29539550.0,,
,45,,,,27214388.0
45,183,,,27214388.0,
45,183,30791400.0,,,
46,184,,28661246.0,,
46,185,,27146442.0,,
46,186,,26920712.0,,
46,187,,26518450.0,,
,46,,,,24153592.0
46,187,,,24153592.0,
46,187,27437344.0,,,
47,188,,25316642.0,,
47,189,,23914632.0,,
47,190,,24112124.0,,
47,191,,23558684.0,,
,47,,,,21444284.0
47,191,,,21444284.0,
47,191,24331128.0,,,
48,192,,22740480.0,,
48,193,,22000012.0,,
48,194,,21851594.0,,
48,195,,20732744.0,,
,48,,,,19034098.0
48,195,,,19034096.0,
48,195,22005174.0,,,
49,196,,20039324.0,,
49,197,,19457288.0,,
49,198,,19162198.0,,
49,199,,19186836.0,,
,49,,,,16895030.0
49,199,,,16895030.0,
49,199,19504894.0,,,
50,200,,17532126.0,,
50,201,,17072482.0,,
50,202,,18082394.0,,
50,203,,16720333.0,,
,50,,,,15019134.0
50,203,,,15019134.0,
50,203,17451844.0,,,
51,204,,15685487.0,,
51,205,,15180980.0,,
51,206,,16025600.0,,
51,207,,15770188.0,,
,51,,,,13385177.0
51,207,,,13385177.0,
51,207,15648995.0,,,
52,208,,14486113.0,,
52,209,,13271704.0,,
52,210,,14515606.0,,
52,211,,14429399.0,,
,52,,,,11972318.0
52,211,,,11972318.0,
52,211,14135528.0,,,
53,212,,13057395.0,,
53,213,,12005056.0,,
53,214,,14351416.0,,
53,215,,12872249.0,,
,53,,,,10762907.0
53,215,,,10762907.0,
53,215,13103090.0,,,
54,216,,11700497.0,,
54,217,,11773886.0,,
54,218,,12684411.0,,
54,219,,12204419.0,,
,54,,,,9732198.0
54,219,,,9732198.0,
54,219,12072811.0,,,
55,220,,10367102.0,,
55,221,,10043691.0,,
55,222,,11971192.0,,
55,223,,12666310.0,,
,55,,,,8874509.0
55,223,,,8874509.0,
55,223,11039683.0,,,
56,224,,8989984.0,,
56,225,,8924606.0,,
56,226,,10952885.0,,
56,227,,12039512.0,,
,56,,,,8184062.5
56,227,,,8184062.5,
56,227,9939658.0,,,
57,228,,8633812.0,,
57,229,,8609347.0,,
57,230,,10283566.0,,
57,231,,10181104.0,,
,57,,,,7625382.5
57,231,,,7625382.5,
57,231,9307523.0,,,
58,232,,8063077.5,,
58,233,,8405673.0,,
58,234,,9938665.0,,
58,235,,9011007.0,,
,58,,,,7153244.0
58,235,,,7153244.0,
58,235,8829836.0,,,
59,236,,7583354.5,,
59,237,,7368470.5,,
59,238,,9289621.0,,
59,239,,9094023.0,,
,59,,,,6757703.0
59,239,,,6757703.0,
59,239,8213481.0,,,
60,240,,7246436.5,,
60,241,,7191260.5,,
60,242,,8784425.0,,
60,243,,9537660.0,,
,60,,,,6435842.5
60,243,,,6435842.5,
60,243,7976506.5,,,
61,244,,6514927.0,,
61,245,,7082702.0,,
61,246,,8807073.0,,
61,247,,8416359.0,,
,61,,,,6188025.0
61,247,,,6188025.0,
61,247,7592648.5,,,
62,248,,6740119.5,,
62,249,,7059920.5,,
62,250,,8662478.0,,
62,251,,8263527.0,,
,62,,,,5986608.0
62,251,,,5986608.0,
62,251,7589336.5,,,
63,252,,6033688.0,,
63,253,,6653819.0,,
63,254,,8446392.0,,
63,255,,8686864.0,,
,63,,,,5825367.0
63,255,,,5825367.0,
63,255,7260130.0,,,
64,256,,6229228.0,,
64,257,,6547150.5,,
64,258,,8266752.0,,
64,259,,7780492.0,,
,64,,,,5698083.0
64,259,,,5698083.0,
64,259,7114908.0,,,
65,260,,6268539.5,,
65,261,,5859834.0,,
65,262,,8874967.0,,
65,263,,7933706.0,,
,65,,,,5596767.5
65,263,,,5596767.5,
65,263,7123489.5,,,
66,264,,5783462.5,,
66,265,,6639070.5,,
66,266,,8000401.5,,
66,267,,7335141.0,,
,66,,,,5509656.5
66,267,,,5509656.5,
66,267,6876863.5,,,
67,268,,5949069.0,,
67,269,,6526893.5,,
67,270,,8217200.5,,
67,271,,8468278.0,,
,67,,,,5426913.0
67,271,,,5426913.0,
67,271,7103812.0,,,
68,272,,6184566.5,,
68,273,,6100224.0,,
68,274,,8043851.0,,
68,275,,8478088.0,,
,68,,,,5362502.0
68,275,,,5362502.0,
68,275,6999536.5,,,
69,276,,6399334.0,,
69,277,,6483160.5,,
69,278,,7854703.5,,
69,279,,7755433.5,,
,69,,,,5316127.0
69,279,,,5316127.0,
69,279,7023023.5,,,
70,280,,5910015.5,,
70,281,,6039301.0,,
70,282,,7760826.0,,
70,283,,7906531.5,,
,70,,,,5280185.5
70,283,,,5280185.5,
70,283,6745423.0,,,
71,284,,5805400.5,,
71,285,,6070359.5,,
71,286,,7798887.0,,
71,287,,7390675.0,,
,71,,,,5252349.0
71,287,,,5252349.0,
71,287,6667453.0,,,
72,288,,5545427.5,,
72,289,,6024629.5,,
72,290,,7574656.0,,
72,291,,7918634.5,,
,72,,,,5228573.5
72,291,,,5228573.5,
72,291,6583267.0,,,
73,292,,5854947.0,,
73,293,,5981590.5,,
73,294,,7850441.5,,
73,295,,7598444.0,,
,73,,,,5205511.0
73,295,,,5205511.0,
73,295,6698287.5,,,
74,296,,5442053.0,,
74,297,,6031549.5,,
74,298,,7793323.0,,
74,299,,8074469.5,,
,74,,,,5185464.0
74,299,,,5185464.0,
74,299,6639107.5,,,
75,300,,5680684.0,,
75,301,,6018818.0,,
75,302,,7832670.5,,
75,303,,7641421.5,,
,75,,,,5174986.0
75,303,,,5174986.0,
75,303,6659096.5,,,
76,304,,5187772.5,,
76,305,,5519215.0,,
76,306,,7489147.5,,
76,307,,7642716.5,,
,76,,,,5179590.5
76,307,,,5179590.5,
76,307,6272359.5,,,
77,308,,5825411.0,,
77,309,,5452551.0,,
77,310,,7570838.0,,
77,311,,7783239.0,,
,77,,,,5186177.5
77,311,,,5186177.5,
77,311,6479806.0,,,
78,312,,4906964.5,,
78,313,,6217722.5,,
78,314,,7571057.5,,
78,315,,7514108.0,,
,78,,,,5196819.0
78,315,,,5196819.0,
78,315,6400166.0,,,
79,316,,5597942.0,,
79,317,,6438197.5,,
79,318,,7400655.0,,
79,319,,7699875.5,,
,79,,,,5202022.5
79,319,,,5202022.5,
79,319,6639146.5,,,
80,320,,5997501.0,,
80,321,,6341573.0,,
80,322,,7502954.5,,
80,323,,7278408.0,,
,80,,,,5197216.0
80,323,,,5197216.5,
80,323,6701192.5,,,
81,324,,5357023.5,,
81,325,,5973083.5,,
81,326,,7850487.5,,
81,327,,7330975.5,,
,81,,,,5187243.5
81,327,,,5187243.5,
81,327,6516544.5,,,
82,328,,5840136.0,,
82,329,,6487370.0,,
82,330,,8023314.5,,
82,331,,7871154.5,,
,82,,,,5185887.0
82,331,,,5185887.0,
82,331,6926316.5,,,
83,332,,5839528.0,,
83,333,,6068836.0,,
83,334,,7626383.5,,
83,335,,8425069.0,,
,83,,,,5185800.5
83,335,,,5185800.5,
83,335,6762674.0,,,
84,336,,5466623.0,,
84,337,,6478296.5,,
84,338,,7487236.5,,
84,339,,6984126.0,,
,84,,,,5185475.5
